name,percentage_positive_review,review_qualification,all_reviews
The Lord of the Rings Online™,80,Very Positive,"Very Positive,(8,597),- 80% of the 8,597 user reviews for this game are positive."
Stellaris: Ascension Pack,-1,,
Dungeon Munchies,98,Overwhelmingly Positive,"Overwhelmingly Positive,(561),- 98% of the 561 user reviews for this game are positive."
Grand Theft Auto IV: Complete Edition,-1,,
Pillars of Eternity,84,Very Positive,"Very Positive,(8,015),- 84% of the 8,015 user reviews for this game are positive."
Graveyard Keeper,75,Mostly Positive,"Mostly Positive,(5,694),- 75% of the 5,694 user reviews for this game are positive."
The Elder Scrolls®: Legends™,71,Mostly Positive,"Mostly Positive,(7,557),- 71% of the 7,557 user reviews for this game are positive."
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,-1,,
Northgard,83,Very Positive,"Very Positive,(12,784),- 83% of the 12,784 user reviews for this game are positive."
Realm Royale,64,Mixed,"Mixed,(27,708),- 64% of the 27,708 user reviews for this game are positive."
Sid Meier’s Civilization VI Gold Edition,-1,,
Gang Beasts,69,Mixed,"Mixed,(16,225),- 69% of the 16,225 user reviews for this game are positive."
Age of Empires Legacy Bundle,-1,,
Total War: MEDIEVAL II – Definitive Edition,93,Very Positive,"Very Positive,(7,674),- 93% of the 7,674 user reviews for this game are positive."
Tales of Vesperia: Definitive Edition,86,Very Positive,"Very Positive,(479),- 86% of the 479 user reviews for this game are positive."
FINAL FANTASY X/X-2 HD Remaster,89,Very Positive,"Very Positive,(6,100),- 89% of the 6,100 user reviews for this game are positive."
Return of the Obra Dinn,96,Overwhelmingly Positive,"Overwhelmingly Positive,(4,030),- 96% of the 4,030 user reviews for this game are positive."
Castle Crashers®,96,Overwhelmingly Positive,"Overwhelmingly Positive,(37,698),- 96% of the 37,698 user reviews for this game are positive."
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,-1,,
Call of Duty®: WWII,54,Mixed,"Mixed,(12,703),- 54% of the 12,703 user reviews for this game are positive."
MudRunner,82,Very Positive,"Very Positive,(6,311),- 82% of the 6,311 user reviews for this game are positive."
Keep Talking and Nobody Explodes,98,Overwhelmingly Positive,"Overwhelmingly Positive,(4,809),- 98% of the 4,809 user reviews for this game are positive."
SPORE™,87,Very Positive,"Very Positive,(15,680),- 87% of the 15,680 user reviews for this game are positive."
Contra Anniversary Collection,71,Mostly Positive,"Mostly Positive,(35),- 71% of the 35 user reviews for this game are positive."
Fishing Planet,76,Mostly Positive,"Mostly Positive,(14,138),- 76% of the 14,138 user reviews for this game are positive."
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,-1,,
Just Cause™ 3,73,Mostly Positive,"Mostly Positive,(37,858),- 73% of the 37,858 user reviews for this game are positive."
BioShock Infinite,95,Overwhelmingly Positive,"Overwhelmingly Positive,(59,252),- 95% of the 59,252 user reviews for this game are positive."
Men of War: Assault Squad 2,84,Very Positive,"Very Positive,(10,495),- 84% of the 10,495 user reviews for this game are positive."
Dungeons & Dragons Online®,70,Mostly Positive,"Mostly Positive,(2,454),- 70% of the 2,454 user reviews for this game are positive."
NecroDancer ULTIMATE PACK,-1,,
JUMP FORCE,55,Mixed,"Mixed,(2,677),- 55% of the 2,677 user reviews for this game are positive."
Desert Skies,86,Very Positive,"Very Positive,(51),- 86% of the 51 user reviews for this game are positive."
Ring of Elysium,74,Mostly Positive,"Mostly Positive,(54,938),- 74% of the 54,938 user reviews for this game are positive."
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,-1,,
METAL GEAR SOLID V: THE PHANTOM PAIN,88,Very Positive,"Very Positive,(27,036),- 88% of the 27,036 user reviews for this game are positive."
TEKKEN 7,81,Very Positive,"Very Positive,(12,948),- 81% of the 12,948 user reviews for this game are positive."
Golf It!,80,Very Positive,"Very Positive,(3,348),- 80% of the 3,348 user reviews for this game are positive."
Shadow Tactics: Blades of the Shogun,95,Overwhelmingly Positive,"Overwhelmingly Positive,(7,238),- 95% of the 7,238 user reviews for this game are positive."
Heroes & Generals,65,Mixed,"Mixed,(101,309),- 65% of the 101,309 user reviews for this game are positive."
Ultimate Doom,93,Very Positive,"Very Positive,(3,511),- 93% of the 3,511 user reviews for this game are positive."
GORN,96,Overwhelmingly Positive,"Overwhelmingly Positive,(3,286),- 96% of the 3,286 user reviews for this game are positive."
DRAGON BALL FighterZ,82,Very Positive,"Very Positive,(8,966),- 82% of the 8,966 user reviews for this game are positive."
Fantasy Grounds,75,Mostly Positive,"Mostly Positive,(381),- 75% of the 381 user reviews for this game are positive."
DRAGON BALL XENOVERSE 2,78,Mostly Positive,"Mostly Positive,(9,192),- 78% of the 9,192 user reviews for this game are positive."
Frostpunk,86,Very Positive,"Very Positive,(22,352),- 86% of the 22,352 user reviews for this game are positive."
Stellaris: Starter Pack,-1,,
Universe Sandbox ²,93,Very Positive,"Very Positive,(5,507),- 93% of the 5,507 user reviews for this game are positive."
Shadowverse CCG,73,Mostly Positive,"Mostly Positive,(7,712),- 73% of the 7,712 user reviews for this game are positive."
Tyranny -  Gold Edition,-1,,
Cities: Skylines - New Player Bundle,-1,,
Fable Anniversary,77,Mostly Positive,"Mostly Positive,(4,586),- 77% of the 4,586 user reviews for this game are positive."
Baldur's Gate II: Enhanced Edition,85,Very Positive,"Very Positive,(2,720),- 85% of the 2,720 user reviews for this game are positive."
Freestyle 2: Street Basketball,72,Mostly Positive,"Mostly Positive,(8,097),- 72% of the 8,097 user reviews for this game are positive."
PC Building Simulator,88,Very Positive,"Very Positive,(6,807),- 88% of the 6,807 user reviews for this game are positive."
Battle Brothers,86,Very Positive,"Very Positive,(5,939),- 86% of the 5,939 user reviews for this game are positive."
The Surge,74,Mostly Positive,"Mostly Positive,(3,174),- 74% of the 3,174 user reviews for this game are positive."
Total War Saga: THRONES OF BRITANNIA,55,Mixed,"Mixed,(4,915),- 55% of the 4,915 user reviews for this game are positive."
Assetto Corsa Ultimate Edition,-1,,
Parkitect,89,Very Positive,"Very Positive,(1,589),- 89% of the 1,589 user reviews for this game are positive."
Between the Stars,82,Very Positive,"Very Positive,(245),- 82% of the 245 user reviews for this game are positive."
ShellShock Live,89,Very Positive,"Very Positive,(10,687),- 89% of the 10,687 user reviews for this game are positive."
Endless Legend™,82,Very Positive,"Very Positive,(9,773),- 82% of the 9,773 user reviews for this game are positive."
Cities: Skylines - Campus Plus Edition,-1,,
Devolver Bootleg,95,Very Positive,"Very Positive,(340),- 95% of the 340 user reviews for this game are positive."
DiRT Rally 2.0,64,Mixed,"Mixed,(1,196),- 64% of the 1,196 user reviews for this game are positive."
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,84,Very Positive,"Very Positive,(644),- 84% of the 644 user reviews for this game are positive."
Warface,69,Mixed,"Mixed,(47,716),- 69% of the 47,716 user reviews for this game are positive."
Assassin's Creed® Origins,83,Very Positive,"Very Positive,(33,278),- 83% of the 33,278 user reviews for this game are positive."
House Party,84,Very Positive,"Very Positive,(3,858),- 84% of the 3,858 user reviews for this game are positive."
Empyrion - Galactic Survival,80,Very Positive,"Very Positive,(12,121),- 80% of the 12,121 user reviews for this game are positive."
WWE 2K19,59,Mixed,"Mixed,(897),- 59% of the 897 user reviews for this game are positive."
Dragon's Dogma: Dark Arisen,87,Very Positive,"Very Positive,(10,683),- 87% of the 10,683 user reviews for this game are positive."
"Warhammer 40,000: Gladius - Relics of War",77,Mostly Positive,"Mostly Positive,(1,147),- 77% of the 1,147 user reviews for this game are positive."
Scrap Mechanic,84,Very Positive,"Very Positive,(16,220),- 84% of the 16,220 user reviews for this game are positive."
Generation Zero,45,Mixed,"Mixed,(2,684),- 45% of the 2,684 user reviews for this game are positive."
Total War: ATTILA,73,Mostly Positive,"Mostly Positive,(11,602),- 73% of the 11,602 user reviews for this game are positive."
Dead by Daylight + Deathgarden,-1,,
Prison Architect,93,Very Positive,"Very Positive,(28,180),- 93% of the 28,180 user reviews for this game are positive."
Dying Light Ultimate Collection,-1,,
Eco,71,Mostly Positive,"Mostly Positive,(2,033),- 71% of the 2,033 user reviews for this game are positive."
Thief Simulator,77,Mostly Positive,"Mostly Positive,(2,335),- 77% of the 2,335 user reviews for this game are positive."
Bloons TD 6,68,Mixed,"Mixed,(862),- 68% of the 862 user reviews for this game are positive."
DUSK,97,Overwhelmingly Positive,"Overwhelmingly Positive,(3,452),- 97% of the 3,452 user reviews for this game are positive."
Ori and the Blind Forest,96,Overwhelmingly Positive,"Overwhelmingly Positive,(24,439),- 96% of the 24,439 user reviews for this game are positive."
Wizard of Legend,88,Very Positive,"Very Positive,(3,970),- 88% of the 3,970 user reviews for this game are positive."
MapleStory 2,74,Mostly Positive,"Mostly Positive,(7,088),- 74% of the 7,088 user reviews for this game are positive."
The Jackbox Party Pack 4,81,Very Positive,"Very Positive,(278),- 81% of the 278 user reviews for this game are positive."
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,95,Overwhelmingly Positive,"Overwhelmingly Positive,(3,686),- 95% of the 3,686 user reviews for this game are positive."
Cities: Skylines Collection,-1,,
Steam Controller,73,Mostly Positive,"Mostly Positive,(7,942),- 73% of the 7,942 user reviews for this hardware are positive."
Two Point Hospital,83,Very Positive,"Very Positive,(5,255),- 83% of the 5,255 user reviews for this game are positive."
The Universim,73,Mostly Positive,"Mostly Positive,(1,656),- 73% of the 1,656 user reviews for this game are positive."
Sniper Elite 4,85,Very Positive,"Very Positive,(11,168),- 85% of the 11,168 user reviews for this game are positive."
Divinity: Original Sin - Enhanced Edition,88,Very Positive,"Very Positive,(9,328),- 88% of the 9,328 user reviews for this game are positive."
Automation - The Car Company Tycoon Game,82,Very Positive,"Very Positive,(1,568),- 82% of the 1,568 user reviews for this game are positive."
Call of Duty®: Modern Warfare® 3,-1,,"1 user reviews,- Need more user reviews to generate a score"
SCUM,64,Mixed,"Mixed,(22,177),- 64% of the 22,177 user reviews for this game are positive."
Reventure,94,Very Positive,"Very Positive,(617),- 94% of the 617 user reviews for this game are positive."
Job Simulator,83,Very Positive,"Very Positive,(823),- 83% of the 823 user reviews for this game are positive."
Watch_Dogs® 2,78,Mostly Positive,"Mostly Positive,(24,747),- 78% of the 24,747 user reviews for this game are positive."
Town of Salem,86,Very Positive,"Very Positive,(13,158),- 86% of the 13,158 user reviews for this game are positive."
VEGA Conflict,52,Mixed,"Mixed,(2,827),- 52% of the 2,827 user reviews for this game are positive."
Foundation,74,Mostly Positive,"Mostly Positive,(1,546),- 74% of the 1,546 user reviews for this game are positive."
Shadow of the Tomb Raider,74,Mostly Positive,"Mostly Positive,(9,220),*,- 74% of the 9,220 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Golf With Your Friends,89,Very Positive,"Very Positive,(13,457),- 89% of the 13,457 user reviews for this game are positive."
The Witcher 2: Assassins of Kings Enhanced Edition,88,Very Positive,"Very Positive,(35,412),- 88% of the 35,412 user reviews for this game are positive."
ARK: Survival Evolved Explorer's Edition,-1,,
The Elder Scrolls IV: Oblivion® Game of the Year Edition,94,Very Positive,"Very Positive,(11,784),- 94% of the 11,784 user reviews for this game are positive."
Company of Heroes 2,74,Mostly Positive,"Mostly Positive,(27,873),- 74% of the 27,873 user reviews for this game are positive."
PlanetSide 2,81,Very Positive,"Very Positive,(44,454),- 81% of the 44,454 user reviews for this game are positive."
Rocksmith® 2014 Edition - Remastered,89,Very Positive,"Very Positive,(4,582),- 89% of the 4,582 user reviews for this game are positive."
Naval Action,59,Mixed,"Mixed,(4,179),- 59% of the 4,179 user reviews for this game are positive."
theHunter: Call of the Wild™ - 2019 Edition,-1,,
ACE COMBAT™ 7: SKIES UNKNOWN,73,Mostly Positive,"Mostly Positive,(4,786),- 73% of the 4,786 user reviews for this game are positive."
Vacation Simulator,86,Very Positive,"Very Positive,(137),- 86% of the 137 user reviews for this game are positive."
PAYDAY 2: Ultimate Edition,-1,,
Baldur's Gate: Enhanced Edition,85,Very Positive,"Very Positive,(4,292),- 85% of the 4,292 user reviews for this game are positive."
The Golf Club™ 2019 featuring PGA TOUR,57,Mixed,"Mixed,(364),- 57% of the 364 user reviews for this game are positive."
Far Cry® 5,67,Mixed,"Mixed,(31,338),- 67% of the 31,338 user reviews for this game are positive."
Pummel Party,82,Very Positive,"Very Positive,(1,571),- 82% of the 1,571 user reviews for this game are positive."
Idle Champions of the Forgotten Realms,80,Very Positive,"Very Positive,(3,738),- 80% of the 3,738 user reviews for this game are positive."
The Isle,69,Mixed,"Mixed,(10,033),- 69% of the 10,033 user reviews for this game are positive."
iRacing,77,Mostly Positive,"Mostly Positive,(363),- 77% of the 363 user reviews for this game are positive."
Steel Division 2,-1,,
"Hot Dogs, Horseshoes & Hand Grenades",96,Overwhelmingly Positive,"Overwhelmingly Positive,(3,181),- 96% of the 3,181 user reviews for this game are positive."
Crush Crush,87,Very Positive,"Very Positive,(8,410),- 87% of the 8,410 user reviews for this game are positive."
Call of Duty®: Black Ops II,82,Very Positive,"Very Positive,(9,096),- 82% of the 9,096 user reviews for this game are positive."
Undertale,95,Overwhelmingly Positive,"Overwhelmingly Positive,(87,700),- 95% of the 87,700 user reviews for this game are positive."
The Evil Within 2,90,Very Positive,"Very Positive,(5,271),- 90% of the 5,271 user reviews for this game are positive."
Project CARS 2,71,Mostly Positive,"Mostly Positive,(3,746),- 71% of the 3,746 user reviews for this game are positive."
Total War: SHOGUN 2,-1,,
FINAL FANTASY VII,92,Very Positive,"Very Positive,(10,938),- 92% of the 10,938 user reviews for this game are positive."
Euro Truck Simulator 2,96,Overwhelmingly Positive,"Overwhelmingly Positive,(132,814),- 96% of the 132,814 user reviews for this game are positive."
Endless Space® 2,81,Very Positive,"Very Positive,(7,583),- 81% of the 7,583 user reviews for this game are positive."
BATTALION 1944: First To Fight Edition,-1,,
Beat Saber - Game + Imagine Dragons Music Pack,-1,,
Stick Fight: The Game,89,Very Positive,"Very Positive,(23,264),- 89% of the 23,264 user reviews for this game are positive."
Fell Seal: Arbiter's Mark,92,Very Positive,"Very Positive,(725),- 92% of the 725 user reviews for this game are positive."
Out of the Park Baseball 20,91,Very Positive,"Very Positive,(184),- 91% of the 184 user reviews for this game are positive."
Project Winter,75,Mostly Positive,"Mostly Positive,(401),- 75% of the 401 user reviews for this game are positive."
Dishonored,96,Overwhelmingly Positive,"Overwhelmingly Positive,(31,375),- 96% of the 31,375 user reviews for this game are positive."
Assetto Corsa,86,Very Positive,"Very Positive,(14,923),- 86% of the 14,923 user reviews for this game are positive."
My Friend Pedro,-1,,
Trove,77,Mostly Positive,"Mostly Positive,(62,025),- 77% of the 62,025 user reviews for this game are positive."
My Time At Portia,90,Very Positive,"Very Positive,(10,245),- 90% of the 10,245 user reviews for this game are positive."
Fallout 4 VR,70,Mostly Positive,"Mostly Positive,(2,407),- 70% of the 2,407 user reviews for this game are positive."
Enter the Gungeon,94,Very Positive,"Very Positive,(24,391),- 94% of the 24,391 user reviews for this game are positive."
NecroDancer AMPLIFIED PACK,-1,,
Arizona Sunshine,85,Very Positive,"Very Positive,(3,248),- 85% of the 3,248 user reviews for this game are positive."
Age of Mythology: Extended Edition,85,Very Positive,"Very Positive,(9,138),- 85% of the 9,138 user reviews for this game are positive."
Football Manager 2019,71,Mostly Positive,"Mostly Positive,(2,566),- 71% of the 2,566 user reviews for this game are positive."
FINAL FANTASY XV WINDOWS EDITION,77,Mostly Positive,"Mostly Positive,(12,902),- 77% of the 12,902 user reviews for this game are positive."
Gold Rush: The Game,62,Mixed,"Mixed,(4,598),- 62% of the 4,598 user reviews for this game are positive."
Jump King,87,Very Positive,"Very Positive,(102),- 87% of the 102 user reviews for this game are positive."
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,-1,,
Train Simulator 2019,62,Mixed,"Mixed,(9,340),- 62% of the 9,340 user reviews for this game are positive."
Deep Ocean Bundle,-1,,
Just Shapes & Beats,96,Overwhelmingly Positive,"Overwhelmingly Positive,(2,124),- 96% of the 2,124 user reviews for this game are positive."
Call of Duty: World at War,92,Very Positive,"Very Positive,(17,438),- 92% of the 17,438 user reviews for this game are positive."
Dishonored: Death of the Outsider - Deluxe Bundle,-1,,
Killing Floor 2,89,Very Positive,"Very Positive,(46,412),- 89% of the 46,412 user reviews for this game are positive."
SpellForce 3: Soul Harvest,87,Very Positive,"Very Positive,(291),- 87% of the 291 user reviews for this game are positive."
Slime Rancher,96,Overwhelmingly Positive,"Overwhelmingly Positive,(21,366),- 96% of the 21,366 user reviews for this game are positive."
MapleStory,67,Mixed,"Mixed,(5,387),- 67% of the 5,387 user reviews for this game are positive."
KovaaK's FPS Aim Trainer,92,Very Positive,"Very Positive,(703),- 92% of the 703 user reviews for this game are positive."
Mount & Blade: Warband,97,Overwhelmingly Positive,"Overwhelmingly Positive,(59,100),- 97% of the 59,100 user reviews for this game are positive."
World of Tanks Blitz MMO,70,Mostly Positive,"Mostly Positive,(20,835),- 70% of the 20,835 user reviews for this game are positive."
Rising Storm 2: Vietnam,80,Very Positive,"Very Positive,(15,667),- 80% of the 15,667 user reviews for this game are positive."
Stormworks: Build and Rescue,87,Very Positive,"Very Positive,(1,686),- 87% of the 1,686 user reviews for this game are positive."
Far Cry® New Dawn,69,Mixed,"Mixed,(3,692),- 69% of the 3,692 user reviews for this game are positive."
Don't Starve,96,Overwhelmingly Positive,"Overwhelmingly Positive,(49,909),- 96% of the 49,909 user reviews for this game are positive."
Eastshade,85,Very Positive,"Very Positive,(679),- 85% of the 679 user reviews for this game are positive."
Zero Caliber VR,80,Very Positive,"Very Positive,(620),- 80% of the 620 user reviews for this game are positive."
Conan Exiles - Year 1 DLC Bundle,-1,,
Sid Meier's Civilization V: Complete,-1,,
World War 3,63,Mixed,"Mixed,(12,384),- 63% of the 12,384 user reviews for this game are positive."
Call of Duty®: Modern Warfare® 2,89,Very Positive,"Very Positive,(14,567),- 89% of the 14,567 user reviews for this game are positive."
Neverwinter,77,Mostly Positive,"Mostly Positive,(24,131),- 77% of the 24,131 user reviews for this game are positive."
The Binding of Isaac: Rebirth,97,Overwhelmingly Positive,"Overwhelmingly Positive,(63,149),- 97% of the 63,149 user reviews for this game are positive."
UNO,57,Mixed,"Mixed,(4,174),- 57% of the 4,174 user reviews for this game are positive."
A Hat in Time - Ultimate Edition,-1,,
Age of Empires® III: Complete Collection,87,Very Positive,"Very Positive,(13,207),- 87% of the 13,207 user reviews for this game are positive."
The Jackbox Party Pack 5,78,Mostly Positive,"Mostly Positive,(252),- 78% of the 252 user reviews for this game are positive."
Knights of Pen and Paper 2,85,Very Positive,"Very Positive,(956),- 85% of the 956 user reviews for this game are positive."
Dishonored: Complete Collection,-1,,
Dawn of Man,79,Mostly Positive,"Mostly Positive,(3,526),- 79% of the 3,526 user reviews for this game are positive."
Baba Is You,97,Overwhelmingly Positive,"Overwhelmingly Positive,(1,521),- 97% of the 1,521 user reviews for this game are positive."
House & Garden Flipper Bundle,-1,,
Microsoft Flight Simulator X: Steam Edition,78,Mostly Positive,"Mostly Positive,(9,782),- 78% of the 9,782 user reviews for this game are positive."
ASTRONEER,84,Very Positive,"Very Positive,(30,161),- 84% of the 30,161 user reviews for this game are positive."
Hollow Knight,95,Overwhelmingly Positive,"Overwhelmingly Positive,(37,382),- 95% of the 37,382 user reviews for this game are positive."
Kingdoms and Castles,85,Very Positive,"Very Positive,(7,419),- 85% of the 7,419 user reviews for this game are positive."
Tyranny,85,Very Positive,"Very Positive,(5,361),- 85% of the 5,361 user reviews for this game are positive."
House Cooking Bundle!,-1,,
XCOM® 2,80,Very Positive,"Very Positive,(23,516),- 80% of the 23,516 user reviews for this game are positive."
Elite Dangerous,68,Mixed,"Mixed,(28,383),- 68% of the 28,383 user reviews for this game are positive."
Realm of the Mad God,83,Very Positive,"Very Positive,(28,359),- 83% of the 28,359 user reviews for this game are positive."
Pillars of Eternity II: Deadfire,81,Very Positive,"Very Positive,(3,494),- 81% of the 3,494 user reviews for this game are positive."
Portal 2,98,Overwhelmingly Positive,"Overwhelmingly Positive,(104,354),- 98% of the 104,354 user reviews for this game are positive."
Oxygen Not Included,93,Very Positive,"Very Positive,(17,415),- 93% of the 17,415 user reviews for this game are positive."
Jurassic World Evolution,70,Mostly Positive,"Mostly Positive,(13,041),- 70% of the 13,041 user reviews for this game are positive."
BeamNG.drive,89,Very Positive,"Very Positive,(13,523),- 89% of the 13,523 user reviews for this game are positive."
MORDHAU Supporter Bundle,-1,,
DCS World Steam Edition,76,Mostly Positive,"Mostly Positive,(6,779),- 76% of the 6,779 user reviews for this game are positive."
Blaster Master Zero,100,Positive,"Positive,(28),- 100% of the 28 user reviews for this game are positive."
Forager,87,Very Positive,"Very Positive,(3,375),- 87% of the 3,375 user reviews for this game are positive."
The Jackbox Party Pack 3,94,Very Positive,"Very Positive,(710),- 94% of the 710 user reviews for this game are positive."
Wolfenstein: The Two Pack,-1,,
Albion Online,54,Mixed,"Mixed,(4,745),- 54% of the 4,745 user reviews for this game are positive."
DARK SOULS™ II,87,Very Positive,"Very Positive,(21,539),- 87% of the 21,539 user reviews for this game are positive."
Total War™: ROME II - Emperor Edition,76,Mostly Positive,"Mostly Positive,(22,009),*,- 76% of the 22,009 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Car Mechanic Simulator 2018,76,Mostly Positive,"Mostly Positive,(11,388),- 76% of the 11,388 user reviews for this game are positive."
NieR:Automata™,82,Very Positive,"Very Positive,(32,562),- 82% of the 32,562 user reviews for this game are positive."
Pavlov VR,89,Very Positive,"Very Positive,(3,435),- 89% of the 3,435 user reviews for this game are positive."
