name,developer,publisher,popular_tags,game_details,genre
Counter-Strike: Source,Valve,"Valve,Valve","Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK",Action
The Evil Within,Tango Gameworks,"Bethesda Softworks,Bethesda Softworks","Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud",Action
The Jackbox Party Pack 2,"Jackbox Games, Inc.","Jackbox Games, Inc.,Jackbox Games, Inc.","Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly","Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,Strategy"
RUNNING WITH RIFLES,Osumia Games,"Osumia Games,Osumia Games","Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,Indie"
The Lord of the Rings Online™,"Standing Stone Games, LLC","Standing Stone Games, LLC,Standing Stone Games, LLC","Free to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark Fantasy",MMO,"Free to Play,Massively Multiplayer,RPG"
Pillars of Eternity,Obsidian Entertainment,"Paradox Interactive,Paradox Interactive","RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available",RPG
Gang Beasts,Boneloaf,"Double Fine Presents,Double Fine Presents","Funny,Multiplayer,Fighting,Local Multiplayer,Comedy,Physics,Action,Beat 'em up,Co-op,4 Player Local,Colorful,Third Person,Early Access,Indie,Casual,Singleplayer,Adventure,Great Soundtrack,Sandbox,Simulation","Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support","Action,Adventure,Casual,Indie"
Castle Crashers®,The Behemoth,"The Behemoth,The Behemoth","Co-op,Action,Multiplayer,Adventure,Local Co-Op,Funny,Beat 'em up,Online Co-Op,Indie,Comedy,Hack and Slash,2D,RPG,Local Multiplayer,Controller,Casual,Great Soundtrack,Fantasy,Side Scroller,Action RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Casual,Indie,RPG"
Keep Talking and Nobody Explodes,Steel Crate Games,"Steel Crate Games,Steel Crate Games","Co-op,Puzzle,Local Co-Op,VR,Multiplayer,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,Asymmetric VR,Psychological Horror,Great Soundtrack","Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards",Indie
SPORE™,Maxis™,"Electronic Arts,Electronic Arts","Simulation,Sandbox,Open World,Exploration,Space,Adventure,God Game,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,Family Friendly,Multiplayer,Action,RPG,Casual,Comedy,RTS",Single-player,Simulation
Fishing Planet,Fishing Planet LLC,"Fishing Planet LLC,Fishing Planet LLC","Fishing,Free to Play,Simulation,Multiplayer,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Early Access,Open World,Singleplayer,Online Co-Op,Family Friendly,Casual,Adventure,FPS,Action,MMORPG","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support","Free to Play,Massively Multiplayer,Simulation,Sports"
Just Cause™ 3,Avalanche Studios,"Square Enix,Square Enix","Open World,Action,Destruction,Third-Person Shooter,Adventure,Singleplayer,Shooter,Multiplayer,Third Person,Sandbox,Exploration,Physics,Funny,Atmospheric,Comedy,Parkour,Great Soundtrack,Co-op,Moddable,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure"
BioShock Infinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)","2K,Aspyr (Mac),2K,Aspyr (Mac)","FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action
Men of War: Assault Squad 2,Digitalmindsoft,"1C Entertainment,1C Entertainment","Strategy,World War II,War,RTS,Simulation,Tactical,Action,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Destruction,Singleplayer,Atmospheric,Masterpiece,Difficult,Classic","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Simulation,Strategy"
Dungeons & Dragons Online®,"Standing Stone Games, LLC","Standing Stone Games, LLC,Standing Stone Games, LLC","Free to Play,RPG,MMORPG,Massively Multiplayer,Fantasy,Action,Adventure,Dragons,Multiplayer,Open World,Magic,Dungeons & Dragons,Third Person,Co-op,Character Customization,Dungeon Crawler,Puzzle,Sandbox,FPS,Online Co-Op",MMO,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,"Konami Digital Entertainment,Konami Digital Entertainment","Stealth,Open World,Story Rich,Action,Tactical,Cinematic,Great Soundtrack,Third Person,Singleplayer,Atmospheric,Horses,Multiplayer,Adventure,Third-Person Shooter,Shooter,Replay Value,Sandbox,Masterpiece,Dark,Sci-fi","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","Action,Adventure"
Heroes & Generals,RETO MOTO,"RETO MOTO,RETO MOTO","Free to Play,World War II,FPS,Multiplayer,War,Shooter,Action,First-Person,Massively Multiplayer,Tactical,Strategy,Co-op,Historical,Open World,Singleplayer,Simulation,Atmospheric,Adventure,Early Access,Indie","Multi-player,Online Multi-Player,MMO,Online Co-op,In-App Purchases","Action,Free to Play,Indie,Massively Multiplayer,Strategy"
Universe Sandbox ²,Giant Army,"Giant Army,Giant Army","Early Access,Space,Sandbox,Simulation,Physics,Science,Destruction,Education,Realistic,Early Access,God Game,Singleplayer,Open World,Indie,Atmospheric,Casual,VR,Great Soundtrack,Sci-fi,Exploration","Single-player,Partial Controller Support","Casual,Indie,Simulation,Early Access"
Fable Anniversary,Lionhead Studios,"Xbox Game Studios,Xbox Game Studios","RPG,Masterpiece,Classic,Fantasy,Adventure,Open World,Singleplayer,Remake,Atmospheric,Action RPG,Third Person,Story Rich,Choices Matter,Action,Comedy,Great Soundtrack,Character Customization,Medieval,Magic,Sandbox","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud",RPG
Baldur's Gate II: Enhanced Edition,Beamdog,"Beamdog,Beamdog","RPG,Classic,Fantasy,Isometric,Party-Based RPG,Dungeons & Dragons,Real-Time with Pause,Strategy,Story Rich,Masterpiece,CRPG,Singleplayer,Adventure,Old School,Character Customization,Magic,Atmospheric,Multiplayer,Remake,Romance","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Strategy"
Freestyle 2: Street Basketball,Joycity,"Joycity,Joycity","Free to Play,Basketball,Sports,Multiplayer,Massively Multiplayer,Action,Co-op,Casual,Competitive,Strategy,Simulation,Singleplayer,e-sports,Controller,Anime,Funny,Great Soundtrack,Open World,FPS,2D","Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,Partial Controller Support","Action,Casual,Free to Play,Massively Multiplayer,Sports"
Battle Brothers,Overhype Studios,"Overhype Studios,Overhype Studios","Strategy,Turn-Based Combat,Medieval,RPG,Turn-Based Tactics,Open World,Turn-Based,Difficult,Sandbox,Singleplayer,Indie,Tactical,Procedural Generation,Perma Death,Replay Value,Fantasy,Turn-Based Strategy,Rogue-like,CRPG,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy"
Endless Legend™,AMPLITUDE Studios,"SEGA,SEGA","Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","RPG,Strategy"
Warface,MY.GAMES,"MY.GAMES,MY.GAMES","Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Open World,Adventure,Strategy,Simulation,Great Soundtrack","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Free to Play,Massively Multiplayer"
Empyrion - Galactic Survival,Eleon Game Studios,"Eleon Game Studios,Eleon Game Studios","Early Access,Survival,Open World,Space,Building,Sandbox,Multiplayer,Crafting,Exploration,Sci-fi,Early Access,Adventure,Co-op,Singleplayer,Simulation,First-Person,Aliens,Strategy,Indie,Action","Single-player,Multi-player,Co-op,Steam Workshop,Partial Controller Support","Adventure,Indie,Simulation,Strategy,Early Access"
Total War: ATTILA,CREATIVE ASSEMBLY,"SEGA,SEGA","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Co-op,Action,Turn-Based,Open World,Simulation,Survival,Adventure","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",Strategy
Prison Architect,Introversion Software,"Paradox Interactive,Paradox Interactive","Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Indie,2D,Resource Management,Base Building,Economy,Top-Down,Moddable,City Builder,Replay Value,Early Access,Casual,Funny,Action,Comedy","Single-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation,Strategy"
Ori and the Blind Forest,Moon Studios GmbH,"Xbox Game Studios,Xbox Game Studios","Great Soundtrack,Atmospheric,Platformer,Adventure,Story Rich,Fantasy,Cute,2D,Metroidvania,Singleplayer,Difficult,Action,Indie,Puzzle,Exploration,Side Scroller,Family Friendly,Open World,RPG,2.5D","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats",Action
The Universim,Crytivo,"Crytivo,Crytivo","Early Access,God Game,City Builder,Simulation,Sandbox,Strategy,Early Access,Open World,Resource Management,Survival,Singleplayer,Indie,Management,Exploration,Aliens,Science,Sci-fi,RTS,Kickstarter,Casual","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy,Early Access"
Divinity: Original Sin - Enhanced Edition,Larian Studios,"Larian Studios,Larian Studios","RPG,Turn-Based,Co-op,Fantasy,Adventure,Party-Based RPG,Story Rich,Strategy,Turn-Based Combat,Open World,Character Customization,Singleplayer,Isometric,Local Co-Op,CRPG,Multiplayer,Great Soundtrack,Split Screen,Turn-Based Strategy,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","Adventure,Indie,RPG,Strategy"
Automation - The Car Company Tycoon Game,Camshaft Software,"Camshaft Software,Camshaft Software","Early Access,Simulation,Management,Building,Early Access,Sandbox,Strategy,Racing,Realistic,Crafting,Education,Moddable,Science,Replay Value,Singleplayer,Multiplayer",Single-player,"Simulation,Strategy,Early Access"
Call of Duty®: Modern Warfare® 3,"Infinity Ward,Sledgehammer Games,Aspyr (Mac)","Activision,Aspyr (Mac),Activision,Aspyr (Mac)","Action,FPS,Multiplayer,Shooter,First-Person,War,Singleplayer,Online Co-Op,Military,Co-op,Casual,Story Rich,Survival,Linear,Controller,Point & Click,Adventure,Masterpiece,Zombies,Family Friendly","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled",Action
Town of Salem,BlankMediaGames,"BlankMediaGames,BlankMediaGames","Multiplayer,Strategy,Mystery,Indie,RPG,Casual,Werewolves,Funny,Great Soundtrack,Survival,Co-op,Board Game,Tactical,Massively Multiplayer,2D,Comedy,Family Friendly,Memes,Action,Horror","Multi-player,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Steam Cloud","Indie,RPG,Strategy"
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED,1C-SoftClub,CD PROJEKT RED,1C-SoftClub","RPG,Fantasy,Mature,Story Rich,Choices Matter,Singleplayer,Third Person,Adventure,Dark Fantasy,Nudity,Multiple Endings,Action,Masterpiece,Atmospheric,Open World,Based On A Novel,Difficult,Medieval,Dark,Magic","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",RPG
Company of Heroes 2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,World War II,RTS,Multiplayer,Tactical,Historical,War,Military,Singleplayer,Co-op,Online Co-Op,Tanks,Action,Real-Time,Base Building,Real-Time with Pause,Atmospheric,Simulation,Great Soundtrack,Masterpiece","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats",Strategy
PlanetSide 2,Daybreak Game Company,"Daybreak Game Company,Daybreak Game Company","Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG","Multi-player,MMO,Steam Trading Cards","Action,Free to Play,Massively Multiplayer"
Baldur's Gate: Enhanced Edition,Beamdog,"Beamdog,Beamdog","RPG,Fantasy,Classic,Isometric,Dungeons & Dragons,Party-Based RPG,Real-Time with Pause,Singleplayer,Strategy,CRPG,Story Rich,Co-op,Character Customization,Adventure,Multiplayer,Masterpiece,Online Co-Op,Remake,Magic,Atmospheric","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Strategy"
iRacing,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing,iRacing.com Motorsport Simulations,iRacing","Racing,Simulation,Sports,Massively Multiplayer,Realistic,Multiplayer,Driving,VR,First-Person,Singleplayer","Single-player,Multi-player,MMO,Partial Controller Support","Massively Multiplayer,Racing,Simulation,Sports"
Call of Duty®: Black Ops II,Treyarch,"Activision,Activision","Action,Multiplayer,FPS,Shooter,First-Person,Singleplayer,Co-op,War,Online Co-Op,Team-Based,Futuristic,Survival,Controller,Tactical,Adventure,Great Soundtrack,Sci-fi,Massively Multiplayer,Atmospheric,Horror","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards",Action
Undertale,tobyfox,"tobyfox,tobyfox","Great Soundtrack,Story Rich,Choices Matter,Funny,Multiple Endings,Pixel Graphics,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Cute,Bullet Hell,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror","Single-player,Steam Trading Cards","Indie,RPG"
Total War: SHOGUN 2,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,Historical,Turn-Based Strategy,RTS,Grand Strategy,Tactical,Singleplayer,Real Time Tactics,Multiplayer,Diplomacy,Ninja,Military,Turn-Based,Co-op,Great Soundtrack,Medieval,Turn-Based Tactics,Stylized,Moddable,Action","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats",Strategy
FINAL FANTASY VII,Square Enix,"Square Enix,Square Enix","JRPG,RPG,Classic,Turn-Based,Story Rich,Singleplayer,Great Soundtrack,Fantasy,Masterpiece,Retro,Adventure,Open World,Sci-fi,Party-Based RPG,Epic,Cyberpunk,Atmospheric,Exploration,Dystopian,Strategy","Single-player,Steam Achievements,Partial Controller Support",RPG
Euro Truck Simulator 2,SCS Software,"SCS Software,SCS Software","Simulation,Driving,Open World,Realistic,Relaxing,Singleplayer,Moddable,Exploration,First-Person,Economy,Atmospheric,Adventure,Management,Indie,Casual,TrackIR,Racing,Sandbox,Action,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor","Indie,Simulation"
Dishonored,Arkane Studios,"Bethesda Softworks,Bethesda Softworks","Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian,FPS,RPG,Replay Value,Fantasy,Masterpiece,Open World,Shooter","Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure"
Assetto Corsa,Kunos Simulazioni,"Kunos Simulazioni,Kunos Simulazioni","Racing,Simulation,Driving,Realistic,Multiplayer,Sports,VR,Moddable,Physics,Controller,Singleplayer,First-Person,Replay Value,Indie,Open World,Action,3D Vision,TrackIR,Artificial Intelligence,Early Access","Single-player,Online Multi-Player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Includes level editor","Indie,Racing,Simulation,Sports"
Trove,Trion Worlds,"Trion Worlds,Trion Worlds","Free to Play,Open World,Multiplayer,Adventure,MMORPG,Massively Multiplayer,Building,Sandbox,Pixel Graphics,Action,RPG,Crafting,Third Person,Co-op,Exploration,Dungeon Crawler,Voxel,Funny,Casual,FPS","Online Multi-Player,MMO,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
Age of Mythology: Extended Edition,"SkyBox Labs,Ensemble Studios","Xbox Game Studios,Xbox Game Studios","Strategy,Mythology,Masterpiece,RTS,Classic,Multiplayer,Great Soundtrack,Epic,Singleplayer,Fantasy,Simulation,Historical,Atmospheric,Adventure,Real-Time,Tactical,Story Rich,Co-op,Remake,Action","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Simulation,Strategy"
Call of Duty: World at War,Treyarch,"Activision,Activision","Zombies,World War II,FPS,Multiplayer,Action,Shooter,Co-op,Moddable,First-Person,Singleplayer,War,Online Co-Op,Gore,Historical,Survival,Classic,Tanks,Great Soundtrack,Adventure,Horror","Single-player,Multi-player,Co-op",Action
Killing Floor 2,Tripwire Interactive,"Tripwire Interactive,Tripwire Interactive","Zombies,Co-op,Gore,FPS,Survival,Multiplayer,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Masterpiece,Singleplayer,Early Access,Indie","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Includes level editor",Action
MapleStory,Nexon,"Nexon America Inc.,Nexon America Inc.","Free to Play,Massively Multiplayer,RPG,MMORPG,Anime,2D,Adventure,Casual,Side Scroller,Platformer,Action RPG,Multiplayer,Fantasy,Action,Cute,Open World,Pixel Graphics,Co-op,Great Soundtrack,Hack and Slash","Single-player,Multi-player,MMO,Co-op,Steam Trading Cards","Casual,Free to Play,Massively Multiplayer,RPG"
Mount & Blade: Warband,TaleWorlds Entertainment,"TaleWorlds Entertainment,TaleWorlds Entertainment","Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Hack and Slash,Simulation,Fantasy,Indie","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,RPG"
Don't Starve,Klei Entertainment,"Klei Entertainment,Klei Entertainment","Survival,Crafting,Indie,Adventure,Sandbox,Singleplayer,Perma Death,Open World,Exploration,Rogue-like,Multiplayer,Replay Value,Moddable,Difficult,Simulation,2D,Top-Down,Survival Horror,Horror,Action","Single-player,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud","Adventure,Indie,Simulation"
Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)","Activision,Aspyr (Mac),Activision,Aspyr (Mac)","Action,FPS,Multiplayer,Shooter,First-Person,Singleplayer,War,Military,Co-op,Online Co-Op,PvP,Masterpiece,Great Soundtrack,Story Rich,Atmospheric,Adventure,Tactical,Strategy,Linear,Moddable","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled",Action
Neverwinter,Cryptic Studios,"Perfect World Entertainment,Perfect World Entertainment","Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Action,Fantasy,Open World,Character Customization,Co-op,Dungeons & Dragons,Dragons,PvP,Third Person,Action RPG,PvE,Atmospheric,Hack and Slash,Zombies","Multi-player,MMO,Co-op,Steam Trading Cards,In-App Purchases,Includes level editor","Adventure,Free to Play,Massively Multiplayer,RPG"
The Binding of Isaac: Rebirth,"Nicalis, Inc.","Nicalis, Inc.,Nicalis, Inc.","Rogue-like,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,Remake,2D,Local Co-Op,Gore,Procedural Generation,Atmospheric,Rogue-lite,Action,Horror,Twin Stick Shooter,Co-op","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action
Age of Empires® III: Complete Collection,Ensemble Studios,"Xbox Game Studios,Xbox Game Studios","Strategy,RTS,Base Building,Historical,Multiplayer,Resource Management,City Builder,War,Simulation,Real-Time,Singleplayer,Classic,Military,Building,Open World,Action,Co-op,Online Co-Op,Real-Time with Pause,Adventure","Single-player,Multi-player,Steam Trading Cards","Simulation,Strategy"
Knights of Pen and Paper 2,Kyy Games,"Paradox Interactive,Paradox Interactive","RPG,Adventure,Pixel Graphics,Strategy,Turn-Based,Indie,Simulation,Singleplayer,Fantasy,Funny,Comedy,Casual,2D","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Indie,RPG,Simulation,Strategy"
